cve_id,base_score,exploitability_score,impact_score,severity,predicted_cve_score
CVE-2021-1800,4.3,8.6,2.9,5.0,3.999999999999999
CVE-2021-1800,4.3,8.6,2.9,5.0,3.999999999999999
CVE-2021-1800,4.3,8.6,2.9,5.0,3.999999999999999
CVE-2021-21656,5.5,8.0,4.9,5.0,5.0
CVE-2021-21656,5.5,8.0,4.9,5.0,5.0
CVE-2021-21656,5.5,8.0,4.9,5.0,5.0
CVE-2022-42797,,,,,-1.7763568394002505e-15
CVE-2022-42797,,,,,-1.7763568394002505e-15
CVE-2022-4671,,,,,-1.7763568394002505e-15
CVE-2022-4671,,,,,-1.7763568394002505e-15
CVE-2022-22601,6.8,8.6,6.4,5.0,6.0
CVE-2022-22601,6.8,8.6,6.4,5.0,6.0
CVE-2022-22602,6.8,8.6,6.4,5.0,6.0
CVE-2022-22602,6.8,8.6,6.4,5.0,6.0
CVE-2022-22603,6.8,8.6,6.4,5.0,6.0
CVE-2022-22603,6.8,8.6,6.4,5.0,6.0
CVE-2022-22604,6.8,8.6,6.4,5.0,6.0
CVE-2022-22604,6.8,8.6,6.4,5.0,6.0
CVE-2022-22605,6.8,8.6,6.4,5.0,6.0
CVE-2022-22605,6.8,8.6,6.4,5.0,6.0
CVE-2022-22606,6.8,8.6,6.4,5.0,6.0
CVE-2022-22606,6.8,8.6,6.4,5.0,6.0
CVE-2022-22607,6.8,8.6,6.4,5.0,6.0
CVE-2022-22607,6.8,8.6,6.4,5.0,6.0
CVE-2022-22608,6.8,8.6,6.4,5.0,6.0
CVE-2022-22608,6.8,8.6,6.4,5.0,6.0
CVE-2022-26747,6.8,8.6,6.4,5.0,6.0
CVE-2022-26747,6.8,8.6,6.4,5.0,6.0
